"Time","","2016","2017","2018","2019","2020","2021","2022"
"Pacific Island Countries and territories","Urbanization","","","","","","",""
"Indicator: 6.2.1 Population using safely managed sanitation services","","","","","","","",""
"Melanesia","","","","","","","",""
"·  Fiji","National","48.42","48.72","49","49.27","49.24","49.02","48.79"
"·  Fiji","Urban","42.91","42.96","43","43.05","42.95","42.81","42.67"
"·  Fiji","Rural","55.23","55.97","56.7","57.43","57.65","57.49","57.33"
"·  Papua New Guinea","Urban","28.93","28.78","28.63","28.49","28.34","28.34","28.34"
"·  Vanuatu","Urban","33.86","33.19","32.52","31.85","31.18","30.51","29.84"
"Micronesia","","","","","","","",""
"·  Kiribati","National","23.61","23.81","24","24.17","24.32","24.46","24.79"
"·  Kiribati","Urban","24.71","24.65","24.58","24.5","24.42","24.32","24.6"
"·  Kiribati","Rural","22.4","22.85","23.31","23.75","24.2","24.64","25.05"
"Polynesia","","","","","","","",""
"·  American Samoa","National","37.87","37.06","37.04","37.01","36.99","36.96","36.99"
"·  Samoa","National","46.29","45.71","45.13","44.54","44","43.47","42.93"
"·  Samoa","Urban","39.48","38.84","38.2","37.55","37.25","37","36.74"
"·  Samoa","Rural","47.85","47.27","46.67","46.07","45.47","44.86","44.25"
"·  Tonga","National","34.29","33.85","33.4","32.95","32.54","32.26","32.05"
"·  Tonga","Urban","25","24.29","23.58","22.88","22.33","22.37","22.34"
"·  Tonga","Rural","37.1","36.73","36.35","35.98","35.61","35.24","34.97"
"·  Tuvalu","National","40.21","39.68","39.17","38.66","38.17","37.7","37.23"
"·  Tuvalu","Urban","36.06","35.83","35.6","35.37","35.15","34.92","34.7"
"·  Tuvalu","Rural","46.62","45.85","45.08","44.32","43.56","42.81","42.05"
